movie_id,actor_id,director_id
1552,0,23
253,0,42
3522,0,81
521,0,83
1695,0,137
2745,0,161
2627,0,216
2625,0,227
1318,0,269
0,0,327
3258,0,339
2336,0,383
1083,0,474
1483,0,508
2324,0,508
70,0,781
1141,0,781
1623,0,781
4465,0,869
157,0,1471
369,0,1668
3874,1,47
3498,1,353
1,1,1159
53,1,1163
3145,2,370
2,2,611
179,2,666
898,2,1199
316,3,48
1111,3,1239
3,4,368
180,4,368
1376,4,370
352,4,455
1113,4,465
344,4,627
764,4,627
1378,4,627
90,4,926
2177,4,933
351,4,934
95,4,1434
665,4,1530
56,5,600
435,6,47
88,6,76
4634,6,419
4,6,455
83,6,540
5,7,47
123,7,47
811,7,47
929,7,47
1410,7,47
4804,7,47
4215,7,70
1319,7,85
2054,7,130
1598,7,161
2316,7,185
4197,7,187
4382,7,216
612,7,221
4201,7,227
2196,7,264
1539,7,275
3497,7,275
1189,7,308
2571,7,308
3452,7,357
2029,7,368
2553,7,368
2562,7,402
1849,7,405
826,7,483
2367,7,532
1020,7,566
1140,7,566
80,7,574
279,7,574
4212,7,672
243,7,735
2972,7,794
1227,7,912
4541,7,1263
1441,8,14
1012,8,76
1437,8,161
892,8,173
2321,8,182
2298,8,194
739,8,222
2871,8,370
623,8,404
2269,8,466
210,8,484
1029,8,766
912,8,943
436,8,960
6,9,379
1172,10,71
31,10,325
131,10,325
152,10,325
197,10,325
328,10,325
437,10,325
880,10,325
890,10,325
1043,10,325
1446,10,325
1749,10,325
2035,10,325
2114,10,325
2521,10,325
3370,10,325
4735,10,325
4057,10,374
299,10,830
3475,10,1005
4160,11,690
3463,11,727
3080,12,14
1854,12,50
2145,12,64
1409,12,89
715,12,109
1157,12,123
2017,12,123
893,12,142
490,12,146
3606,12,201
1788,12,243
1559,12,269
529,12,275
1098,12,275
474,12,368
1582,12,417
2490,12,474
1678,12,521
7,12,979
2085,12,1128
2473,12,1131
291,12,1200
3647,12,1355
133,12,1530
2424,13,92
2198,13,227
2590,13,271
8,13,349
4485,13,389
3804,13,522
792,13,658
85,13,666
374,13,860
3013,13,995
87,14,77
2539,14,118
9,14,205
381,14,405
26,14,627
215,14,681
3300,14,792
1122,14,1227
4418,14,1245
3633,14,1481
4657,14,1546
64,14,1668
3827,15,29
402,15,83
1705,15,277
1477,15,465
4462,15,521
4817,15,812
10,15,894
534,15,1030
313,15,1064
174,15,1603
1452,16,120
11,16,404
106,17,207
3323,17,291
395,17,595
1013,17,711
12,17,890
804,17,1199
905,17,1277
2512,18,208
13,18,465
219,18,695
3014,18,738
4310,19,132
919,19,847
2441,20,3
1702,20,35
1993,20,77
2671,20,142
1403,20,156
177,20,205
1156,20,205
1047,20,221
960,20,269
979,20,291
3338,20,357
756,20,375
1650,20,375
812,20,417
4010,20,453
2520,20,464
387,20,658
2852,20,737
1059,20,1114
4474,20,1332
2119,21,231
14,21,519
376,21,1253
769,21,1486
127,22,83
230,22,996
2688,22,1242
2698,23,615
3387,24,6
1612,24,70
1584,24,131
1694,24,131
2292,24,160
1271,24,165
2010,24,168
1828,24,199
46,24,205
183,24,230
3223,24,236
2138,24,254
1905,24,269
2930,24,271
1917,24,355
2310,24,375
3766,24,426
2515,24,494
213,24,532
17,24,818
345,24,818
4847,24,863
743,24,934
879,24,934
4813,25,46
206,25,76
2045,25,105
544,25,137
41,25,320
648,25,320
72,25,642
1636,25,1163
4028,27,99
368,27,519
18,27,577
1720,27,607
2304,28,161
887,28,203
491,28,243
258,28,275
1074,28,310
1852,28,349
4040,28,349
1630,28,357
2302,28,378
1171,28,447
76,28,877
4770,28,1305
2813,29,159
2812,29,185
1246,29,226
3612,29,272
814,29,291
1551,29,301
1768,29,357
267,29,417
2438,29,447
2485,29,529
398,29,542
2205,29,556
3343,29,583
1108,29,709
3492,29,792
2215,29,979
4063,29,1235
1354,29,1412
851,29,1690
1260,29,1690
19,30,377
746,30,1214
3351,31,198
1303,31,227
626,31,491
954,31,491
1475,31,867
1616,31,986
1787,31,1468
160,32,595
228,32,877
135,32,890
20,32,999
51,32,999
212,32,999
272,32,999
4698,32,1061
597,32,1338
803,32,1553
2166,33,29
202,33,156
165,33,405
3833,34,9
288,34,247
532,34,291
2614,34,572
457,34,627
1577,34,631
21,34,1040
2972,35,794
22,35,1289
754,36,246
4401,36,322
2828,37,457
104,37,490
4859,38,63
23,38,76
411,38,142
3629,38,989
2565,38,1327
1459,39,276
3401,40,116
3695,40,138
24,40,542
151,41,830
1929,41,1611
9,42,205
25,43,35
653,43,338
2146,43,368
1351,44,695
4344,44,1062
1179,46,131
1442,47,227
27,47,649
1389,47,927
585,47,1177
1872,48,79
825,48,482
28,48,695
159,48,695
219,48,695
305,48,695
772,48,695
1000,48,695
1119,48,695
1232,48,695
1486,48,695
1619,48,695
1772,48,695
2238,48,695
2690,48,695
4061,48,695
997,48,1239
29,49,247
2599,50,101
1658,50,433
30,50,956
2814,51,426
2078,52,545
435,53,47
63,53,203
3379,53,237
763,53,280
497,53,1034
901,53,1064
391,54,222
399,54,1008
169,54,1172
98,54,1614
207,54,1614
2442,56,14
4503,56,41
2254,56,48
1285,56,1079
214,56,1249
747,57,37
3110,57,71
1422,57,105
767,57,241
581,57,275
1456,57,390
1384,57,542
1026,57,643
708,57,1200
103,57,1218
