movie_id,title,budget,revenue,release_year,runtime,age_rating,rating
0,The Shining,19000000,46998772,1980,146,R,8.4
1,The Blue Lagoon,4500000,58853106,1980,104,R,5.8
2,Star Wars: Episode V - The Empire Strikes Back,18000000,538375067,1980,124,PG,8.7
3,Caddyshack,6000000,39846344,1980,98,R,7.3
4,The Blues Brothers,27000000,115229890,1980,133,R,7.9
5,Raging Bull,18000000,23402427,1980,129,R,8.2
6,The Long Riders,10000000,15795189,1980,100,R,7
7,Popeye,20000000,49823037,1980,114,PG,5.3
8,Ordinary People,6000000,54766923,1980,124,R,7.7
9,Dressed to Kill,6500000,31899000,1980,104,R,7.1
10,Somewhere in Time,5100000,9709597,1980,103,PG,7.2
11,Fame,125500600,21202829,1980,134,R,6.6
12,9 to 5,10000000,103300686,1980,109,PG,6.9
13,The Fog,1000000,21448782,1980,89,R,6.8
14,Heaven's Gate,44000000,3484523,1980,219,R,6.8
15,The Final Countdown,12000000,16647800,1980,103,PG,6.7
16,Xanadu,20000000,22762571,1980,96,PG,5.3
17,Urban Cowboy,125500600,46918287,1980,132,PG,6.4
18,Raise the Titanic,36000000,100000000,1980,115,PG,5
19,My Bodyguard,125500600,22482952,1980,102,PG,7.1
20,Smokey and the Bandit II,125500600,66132626,1980,100,PG,5.3
21,Private Benjamin,10000000,69847348,1980,109,R,6.2
22,The Hollywood Knights,4000000,10000000,1980,91,R,6.3
23,Coal Miner's Daughter,125500600,67182787,1980,124,PG,7.5
24,Breaker Morant,125500600,100000000,1980,107,PG,7.9
25,The Awakening,125500600,8415112,1980,101,R,4.8
26,The Island,22000000,15716828,1980,109,R,5.3
27,Lion of the Desert,35000000,100000000,1980,173,PG,8.3
28,Stardust Memories,10000000,10389003,1980,89,PG,7.3
29,Melvin and Howard,7000000,4309490,1980,95,R,6.8
30,Can't Stop the Music,20000000,100000000,1980,124,PG,4.2
31,Bronco Billy,6500000,24265659,1980,116,PG,6.1
32,Oh Heavenly Dog,6000000,6216067,1980,103,PG,5.4
33,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",125500600,2013193,1980,75,G,7.3
34,Roadie,125500600,4226370,1980,106,PG,5.2
35,Willie & Phil,5500000,4400000,1980,115,R,5.9
36,Phobia,5100000,59167,1980,94,R,4
37,Loving Couples,125500600,2806659,1980,97,PG,5.2
38,"Those Lips, Those Eyes",125500600,804713,1980,105,R,6.5
39,Gilda Live,125500600,2261507,1980,96,R,6.8
40,Indiana Jones and the Raiders of the Lost Ark,18000000,389925971,1981,115,PG,8.4
41,Body Heat,125500600,24058838,1981,113,R,7.4
42,An American Werewolf in London,10000000,30669378,1981,97,R,7.5
43,Escape from New York,6000000,25244626,1981,99,R,7.2
44,The Evil Dead,350000,2956630,1981,85,NC-17,7.5
45,Porky's,2500000,111289673,1981,94,R,6.2
46,Blow Out,18000000,12000000,1981,108,R,7.4
47,Excalibur,11000000,34971136,1981,140,R,7.4
48,Mad Max 2,3000000,23668369,1981,96,R,7.6
49,Das Boot,125500600,11487676,1981,149,PG-13,8.3
50,Stripes,10000000,85297000,1981,106,R,6.9
51,The Cannonball Run,18000000,72179579,1981,95,PG,6.2
52,Thief,5500000,11492915,1981,123,R,7.4
53,Endless Love,125500600,32492674,1981,116,R,4.9
54,Time Bandits,5000000,42368025,1981,110,PG,7
55,The Four Seasons,125500600,50427646,1981,107,PG,6.8
56,Friday the 13th Part 2,1250000,21722776,1981,87,R,6.1
57,Scanners,125500600,14225876,1981,103,R,6.8
58,For Your Eyes Only,28000000,54813222,1981,127,PG,6.7
59,Taps,14000000,35856053,1981,126,PG,6.8
60,Reds,32000000,40382659,1981,195,PG,7.3
61,On Golden Pond,125500600,119285432,1981,109,PG,7.6
62,Chariots of Fire,5500000,59303359,1981,125,PG,7.2
63,Absence of Malice,12000000,40716963,1981,116,PG,6.9
64,Victory,10000000,10853418,1981,116,PG,6.7
65,History of the World: Part I,11000000,31672907,1981,92,R,6.9
66,The Howling,1000000,17985893,1981,91,R,6.6
67,Dragonslayer,18000000,14110013,1981,109,PG,6.7
68,Quest for Fire,12500000,20962615,1981,100,R,7.3
69,Mommie Dearest,5000000,19032261,1981,129,R,6.7
70,The Postman Always Rings Twice,12000000,12376625,1981,122,R,6.6
71,Deadly Blessing,2500000,8279042,1981,100,R,5.6
72,Eyewitness,8500000,6400000,1981,103,R,6
73,Gallipoli,125500600,5732587,1981,110,PG,7.4
74,Outland,16000000,17374595,1981,109,R,6.6
75,Southern Comfort,125500600,100000000,1981,106,R,7.2
76,S.O.B.,12000000,14867086,1981,122,R,6.4
77,The Beyond,400000,123843,1981,87,R,6.8
78,The Funhouse,125500600,7886857,1981,96,R,5.9
79,One from the Heart,26000000,636796,1981,107,R,6.5
80,True Confessions,10000000,12850276,1981,108,R,6.3
81,Looker,8000000,100000000,1981,93,PG,6.1
82,Nighthawks,5000000,19905359,1981,99,R,6.4
83,Neighbors,8500000,29916207,1981,94,R,5.6
84,Puberty Blues,125500600,237000,1981,87,R,5.9
85,Eye of the Needle,125500600,17583634,1981,112,R,7.1
86,Wolfen,17000000,10626725,1981,115,R,6.3
87,The Hand,125500600,2447576,1981,104,R,5.5
88,Continental Divide,125500600,15578237,1981,103,PG,6.2
89,Zorro: The Gay Blade,125500600,100000000,1981,93,PG,6.2
90,Under the Rainbow,20000000,18826490,1981,98,PG,5.4
91,Carbon Copy,6000000,9566593,1981,92,PG,5.6
92,The Incredible Shrinking Woman,125500600,20259961,1981,88,PG,5.5
93,Quartet,125500600,12042,1981,101,R,6.3
94,Graduation Day,250000,100000000,1981,96,R,4.9
95,Modern Problems,8000000,26154211,1981,93,PG,5.1
96,The Legend of the Lone Ranger,18000000,12617845,1981,98,PG,5.1
97,Sphinx,14000000,2022771,1981,118,PG,5.2
98,An Eye for an Eye,3800000,100000000,1981,106,R,5.5
99,Zoot Suit,2700000,3256082,1981,103,R,6.8
100,Modern Romance,125500600,2863642,1981,93,R,7
101,Heartbeeps,12000000,2154696,1981,78,PG,4.3
102,Back Roads,125500600,11809387,1981,94,R,5.6
103,Whose Life Is It Anyway?,13000000,8206145,1981,119,R,7.3
104,Inchon,46000000,5200986,1981,140,PG,2.7
105,The Pursuit of D.B. Cooper,12000000,3702028,1981,100,PG,5.6
106,Rollover,16000000,10851261,1981,116,R,5.4
107,Honky Tonk Freeway,24000000,2004742,1981,107,PG,5.2
108,Fast Times at Ridgemont High,4500000,27092880,1982,90,R,7.2
109,Blade Runner,28000000,41676878,1982,117,R,8.1
110,The Thing,15000000,19632053,1982,109,R,8.1
111,Conan the Barbarian,20000000,68851475,1982,129,R,6.9
112,E.T. the Extra-Terrestrial,10500000,792910554,1982,115,PG,7.8
113,First Blood,15000000,125212904,1982,93,R,7.7
114,Annie,50000000,57063861,1982,127,PG,6.6
115,Poltergeist,10700000,77142388,1982,114,PG,7.3
116,48 Hrs.,12000000,78868508,1982,96,R,6.9
117,Star Trek II: The Wrath of Khan,11200000,78912963,1982,113,PG,7.7
118,Paradise,125500600,5588800,1982,100,R,4.9
119,Sophie's Choice,12000000,30036000,1982,150,R,7.6
120,Gandhi,22000000,52767889,1982,191,PG,8
121,Tootsie,21000000,177200000,1982,116,PG,7.4
122,The Secret of NIMH,7000000,14665733,1982,82,G,7.6
123,The King of Comedy,20000000,2536242,1982,109,PG,7.8
124,Rocky III,17000000,125052686,1982,99,PG,6.8
125,The Beastmaster,8000000,14056528,1982,118,PG,6.2
126,Creepshow,8000000,21028755,1982,120,R,6.9
127,The Man from Snowy River,3500000,20659423,1982,102,PG,7.3
128,Pink Floyd: The Wall,12000000,22265763,1982,95,R,8
129,Fanny and Alexander,6000000,6795771,1982,188,R,8.1
130,Friday the 13th Part III,2300000,36690067,1982,95,R,5.7
131,Firefox,18000000,46708276,1982,136,PG,6
132,Halloween III: Season of the Witch,2500000,14400000,1982,98,R,5
133,The World According to Garp,17000000,29712172,1982,136,R,7.2
134,Diner,5000000,14099953,1982,110,R,7.1
135,The Best Little Whorehouse in Texas,35000000,69701637,1982,114,R,6
136,The Year of Living Dangerously,13000000,10278575,1982,115,PG,7.1
137,Night Shift,125500600,21095638,1982,106,R,6.6
138,Summer Lovers,125500600,4968000,1982,98,R,5.7
139,Victor Victoria,125500600,28229046,1982,134,PG,7.6
140,The Entity,9000000,13277558,1982,125,R,6.7
141,The Toy,17000000,47118057,1982,102,PG,5.8
142,The House on Sorority Row,425000,10604986,1982,91,R,6
143,Evil Under the Sun,10000000,6110670,1982,117,PG,7.1
144,Death Wish II,2000000,16100000,1982,89,R,6
145,Megaforce,20000000,5675599,1982,99,PG,3.7
146,Personal Best,16000000,5672311,1982,128,R,6.3
147,Cannery Row,11300000,5301539,1982,120,PG,6.7
148,Tex,125500600,7400000,1982,103,PG,6.5
149,Tempest,13000000,5005245,1982,140,PG,6.5
150,Young Doctors in Love,125500600,30688860,1982,96,R,5.5
151,My Favorite Year,125500600,20123620,1982,92,PG,7.4
152,Honkytonk Man,2000000,4484991,1982,122,PG,6.6
153,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",850000,840958,1982,109,PG,7.2
154,The Final Option,6000000,2666873,1982,125,R,6.4
155,Trail of the Pink Panther,6000000,9056073,1982,96,PG,5
156,The Sender,125500600,1054328,1982,91,R,6
157,The Border,22000000,6118683,1982,108,R,6.4
158,Kiss Me Goodbye,125500600,15782759,1982,101,PG,6
159,A Midsummer Night's Sex Comedy,125500600,9077269,1982,88,PG,6.6
160,Best Friends,15000000,36821203,1982,116,PG,5.5
161,Shoot the Moon,12000000,9217530,1982,124,R,6.9
162,Barbarosa,11000000,1736123,1982,90,PG,6.4
163,A Little Sex,125500600,2370376,1982,95,R,4.9
164,Split Image,125500600,263635,1982,110,R,6.5
165,The Challenge,125500600,2977706,1982,108,R,6.3
166,Wrong Is Right,10000000,3583513,1982,117,R,5.7
167,Six Weeks,125500600,6668025,1982,107,PG,5.7
168,Jekyll and Hyde... Together Again,5000000,3792188,1982,87,R,6.2
169,Forced Vengeance,5000000,6660333,1982,90,R,5.6
170,The Missionary,125500600,7241180,1982,90,R,6.2
171,Endangered Species,125500600,1474249,1982,97,R,5.9
172,Jinxed!,13400000,2869638,1982,103,R,4.7
173,Some Kind of Hero,125500600,23671186,1982,97,R,5.8
174,Monsignor,125500600,12408066,1982,121,R,5.1
175,"Yes, Giorgio",19000000,2279543,1982,110,PG,3.9
176,La traviata,125500600,3783329,1982,109,G,7.2
177,Scarface,25000000,65884703,1983,170,R,8.3
178,The Outsiders,10000000,25697647,1983,91,PG,7.1
179,Star Wars: Episode VI - Return of the Jedi,32500000,475106177,1983,131,PG,8.3
180,National Lampoon's Vacation,15000000,61399552,1983,98,R,7.4
181,Trading Places,15000000,90404800,1983,116,R,7.5
182,The Big Chill,8000000,56399659,1983,105,R,7.2
183,Staying Alive,22000000,64892670,1983,93,PG,4.7
184,Christine,9700000,21017849,1983,110,R,6.7
185,Flashdance,4000000,92921203,1983,95,R,6.2
186,WarGames,12000000,79567667,1983,114,PG,7.1
187,The Right Stuff,27000000,21192315,1983,193,PG,7.8
188,Krull,47000000,16916617,1983,121,PG,6.1
189,The Dead Zone,10000000,20766616,1983,103,R,7.2
190,Octopussy,27500000,67893619,1983,131,PG,6.5
191,Valley Girl,350000,17343596,1983,99,R,6.4
192,Rumble Fish,10000000,2494480,1983,94,R,7.2
193,Videodrome,5952000,2120439,1983,87,R,7.2
194,Terms of Endearment,8000000,108423749,1983,132,PG,7.4
195,Never Say Never Again,36000000,55432841,1983,134,PG,6.2
196,A Christmas Story,3300000,20653717,1983,93,PG,7.9
197,Sudden Impact,22000000,67642693,1983,117,R,6.6
198,The Hunger,125500600,5988322,1983,97,R,6.7
199,Blue Thunder,22000000,42313354,1983,109,R,6.4
200,Silkwood,10000000,35615609,1983,131,R,7.2
201,All the Right Moves,5600000,17233166,1983,91,R,5.9
202,The Keep,11000000,4218594,1983,96,R,5.7
203,Nostalghia,125500600,55269,1983,125,Not Rated,8.1
204,Porky's II: The Next Day,6500000,33759266,1983,98,R,5
205,Tender Mercies,125500600,8443124,1983,92,PG,7.4
206,Gorky Park,15000000,15856028,1983,128,R,6.7
207,Lone Wolf McQuade,5000000,12232628,1983,107,PG,6.3
208,Losin' It,7000000,1246141,1983,100,R,4.9
209,Brainstorm,15000000,10219460,1983,106,PG,6.4
210,Uncommon Valor,14500000,30503151,1983,105,R,6.4
211,Doctor Detroit,125500600,10375893,1983,89,R,5.2
212,Stroker Ace,125500600,13000000,1983,96,PG,4.9
213,Two of a Kind,14000000,23646952,1983,88,PG,4.7
214,Never Cry Wolf,125500600,29600000,1983,105,PG,7.5
215,Educating Rita,125500600,14648076,1983,110,PG,7.2
216,A Night in Heaven,125500600,5563663,1983,83,R,4.3
217,Under Fire,9500000,5696391,1983,128,R,7
218,Revenge of the Ninja,700000,13168027,1983,90,R,6.1
219,Zelig,125500600,11798616,1983,79,PG,7.7
220,The Wicked Lady,8000000,724912,1983,98,R,4.7
221,Of Unknown Origin,4000000,1080470,1983,88,R,6.1
222,Curse of the Pink Panther,11000000,4491986,1983,109,PG,4.3
223,D.C. Cab,8000000,16134627,1983,100,R,5.5
224,The Survivors,12000000,14000000,1983,103,R,5.8
225,The Star Chamber,125500600,5555305,1983,109,R,6.3
226,The Dresser,125500600,5310748,1983,118,PG,7.6
227,Cross Creek,125500600,100000000,1983,127,PG,7
228,The Man Who Loved Women,19000000,10964740,1983,110,R,5.3
229,Nightmares,6000000,6670680,1983,99,R,5.8
230,Eddie Macon's Run,5000000,1262691,1983,95,PG,5.7
231,Baby It's You,3000000,1867792,1983,105,R,6.3
232,Heat and Dust,125500600,1772889,1983,130,R,6.6
233,Heart Like a Wheel,125500600,272278,1983,113,PG,6.7
234,Love Letters,550000,5269990,1983,88,R,5.9
235,Get Crazy,5500000,1645711,1983,92,R,6.7
236,Lianna,300000,1530839,1983,110,R,6.8
237,Exposed,125500600,1818910,1983,100,R,5.1
238,The Man Who Wasn't There,125500600,2443487,1983,111,R,3.8
239,The Terminator,6400000,78371200,1984,107,R,8
240,Dune,40000000,30925690,1984,137,PG-13,6.5
241,Ghostbusters,30000000,296187079,1984,105,PG,7.8
242,The Karate Kid,8000000,91119319,1984,126,PG,7.3
243,Once Upon a Time in America,30000000,5473212,1984,229,R,8.4
244,Police Academy,4500000,81198894,1984,96,R,6.7
245,Indiana Jones and the Temple of Doom,28000000,333107271,1984,118,PG,7.5
246,Body Double,10000000,8801940,1984,114,R,6.8
247,A Nightmare on Elm Street,1800000,25507137,1984,91,R,7.5
248,Beverly Hills Cop,14000000,316360478,1984,105,R,7.3
249,Red Dawn,17000000,38376497,1984,114,PG-13,6.4
250,The NeverEnding Story,27000000,20251411,1984,102,PG,7.4
251,Revenge of the Nerds,8000000,40874452,1984,90,R,6.6
252,Gremlins,11000000,153633143,1984,106,PG,7.3
253,Romancing the Stone,10000000,86572238,1984,106,PG,6.9
254,Streets of Fire,14500000,8089290,1984,93,PG,6.7
255,This Is Spinal Tap,2500000,4736202,1984,82,R,7.9
256,1984,125500600,8430492,1984,113,R,7.1
257,Splash,8000000,69821334,1984,111,PG,6.3
258,The Natural,28000000,47951979,1984,138,PG,7.5
259,Nausicaä of the Valley of the Wind,1000000,8736506,1984,117,PG-13,8.1
260,Hardbodies,125500600,7121719,1984,88,R,4.9
261,Supergirl,35000000,14296438,1984,124,PG,4.4
262,The Bounty,25000000,8613462,1984,132,PG,7
263,Firestarter,15000000,17080167,1984,114,R,6.1
264,Runaway,125500600,6770587,1984,99,PG-13,5.9
265,Star Trek III: The Search for Spock,17000000,76471046,1984,105,PG,6.7
266,2010: the Year We Make Contact,28000000,40400657,1984,116,PG,6.8
267,The Cotton Club,58000000,25928721,1984,127,R,6.5
268,Starman,22000000,28744356,1984,115,PG,7
269,Blame It on Rio,125500600,18644570,1984,100,R,5.8
270,Dreamscape,125500600,12145169,1984,99,PG-13,6.3
271,The Philadelphia Experiment,21000000,8103330,1984,102,PG,6.1
272,Cannonball Run II,20000000,28078073,1984,108,PG,5.1
273,The Ice Pirates,9000000,14255801,1984,91,PG,5.7
274,A Passage to India,16000000,27201487,1984,164,PG,7.3
275,The Hotel New Hampshire,7500000,5142858,1984,109,R,6
276,Sheena,25000000,5778353,1984,117,PG,4.9
277,"Greystoke: The Legend of Tarzan, Lord of the Apes",30000000,45858563,1984,143,PG,6.4
278,The Muppets Take Manhattan,125500600,25534703,1984,94,G,6.9
